,day,section,hour,subjectid,roomno,facultyid
0,mon,4A,1,FR,ISE304,42
1,mon,4A,2,MC03,ISE304,48
2,mon,4A,3,4MAT2,ISE304,46
3,mon,4A,4,4MAT2,ISE304,46
4,mon,4A,5,4CCI04,ISE304,47
5,mon,4A,6,4CCI01,ISE304,29
6,mon,4A,7,4CCI02,ISE304,5
7,mon,4A,8,4CS01,ISE304,39
8,tue,4A,1,FR,ISE304,42
9,tue,4A,2,4CS01,ISE304,39
10,tue,4A,3,MC03,ISE304,48
11,tue,4A,4,4CCI04,ISE304,47
12,tue,4A,5,4CCI02,ISE304,5
13,tue,4A,6,4MAT2,ISE304,46
14,tue,4A,7,4MAT2,ISE304,46
15,tue,4A,8,4CCI01,ISE304,29
16,wed,4A,1,4CCI04,ISE304,47
17,wed,4A,2,4MAT2,ISE304,46
18,wed,4A,3,4MAT2,ISE304,46
19,wed,4A,4,4CS01,ISE304,39
20,wed,4A,5,4CCI01,ISE304,29
21,wed,4A,6,MC03,ISE304,48
22,wed,4A,7,4CCI02,ISE304,5
23,wed,4A,8,4CCI03,ISE304,21
24,thu,4A,1,4CCI02,ISE304,5
25,thu,4A,2,4CCI04,ISE304,47
26,thu,4A,3,MC03,ISE304,48
27,thu,4A,4,FR,ISE304,42
28,thu,4A,5,4CS01,ISE304,39
29,thu,4A,6,4CCI01,ISE304,29
30,thu,4A,7,4CCI03,ISE304,21
31,thu,4A,8,4MAT2,ISE304,46
32,fri,4A,1,MC03,ISE304,48
33,fri,4A,2,4CCI02,ISE304,5
34,fri,4A,3,4CCI04,ISE304,47
35,fri,4A,4,4CS01,ISE304,39
36,fri,4A,5,4CCI03,ISE304,21
37,fri,4A,6,FR,ISE304,42
38,fri,4A,7,4CCI01,ISE304,29
39,fri,4A,8,4MAT2,ISE304,46
40,sat,4A,1,4CS01,ISE304,39
41,sat,4A,2,4CCI04,ISE304,47
42,sat,4A,3,4MAT2,ISE304,46
43,sat,4A,4,FR,ISE304,42
44,sat,4A,5,4CCI02,ISE304,5
45,sat,4A,6,4MAT2,ISE304,46
46,sat,4A,7,MC03,ISE304,48
47,sat,4A,8,4CCI03,ISE304,21
48,mon,4B,1,4CCI02,CSL103,5
49,mon,4B,2,4CCI01,CSL103,29
50,mon,4B,3,FR,CSL103,42
51,mon,4B,4,4MAT2,CSL103,48
52,mon,4B,5,4CCI04,CSL103,50
53,mon,4B,6,MC03,CSL103,48
54,mon,4B,7,4CS01,CSL103,39
55,mon,4B,8,4CCI03,CSL103,21
56,tue,4B,1,4CCI03,CSL103,21
57,tue,4B,2,FR,CSL103,42
58,tue,4B,3,4MAT2,CSL103,46
59,tue,4B,4,4CS01,CSL103,39
60,tue,4B,5,4CCI04,CSL103,47
61,tue,4B,6,4CCI02,CSL103,5
62,tue,4B,7,MC03,CSL103,48
63,tue,4B,8,4CCI01,CSL103,27
64,wed,4B,1,4MAT2,CSL103,46
65,wed,4B,2,4CCI01,CSL103,29
66,wed,4B,3,4CCI03,CSL103,21
67,wed,4B,4,4CCI02,CSL103,5
68,wed,4B,5,MC03,CSL103,48
69,wed,4B,6,4CCI04,CSL103,47
70,wed,4B,7,FR,CSL103,42
71,wed,4B,8,4CS01,CSL103,39
72,thu,4B,1,4CCI03,CSL103,21
73,thu,4B,2,MC03,CSL103,48
74,thu,4B,3,4CCI02,CSL103,5
75,thu,4B,4,4MAT2,CSL103,46
76,thu,4B,5,4CCI04,CSL103,47
77,thu,4B,6,FR,CSL103,42
78,thu,4B,7,4CCI01,CSL103,29
79,thu,4B,8,4CS01,CSL103,39
80,fri,4B,1,4CS01,CSL103,39
81,fri,4B,2,4CCI04,CSL103,47
82,fri,4B,3,4CCI02,CSL103,5
83,fri,4B,4,MC03,CSL103,48
84,fri,4B,5,4MAT2,CSL103,46
85,fri,4B,6,FR,CSL103,
86,fri,4B,7,4CCI03,CSL103,21
87,fri,4B,8,4CCI01,CSL103,29
88,sat,4B,1,MC03,CSL103,48
89,sat,4B,2,4CCI04,CSL103,50
90,sat,4B,3,4MAT2,CSL103,48
91,sat,4B,4,FR,CSL103,
92,sat,4B,5,4CCI01,CSL103,29
93,sat,4B,6,4CS01,CSL103,39
94,sat,4B,7,4CCI02,CSL103,5
95,sat,4B,8,4CCI03,CSL103,26
96,mon,4C,1,4CCI01,M. Tech. CNE Theory,29
97,mon,4C,2,4CCI04,M. Tech. CNE Theory,47
98,mon,4C,3,4MAT2,M. Tech. CNE Theory,48
99,mon,4C,4,4CCI02,M. Tech. CNE Theory,5
100,mon,4C,5,MC03,M. Tech. CNE Theory,48
101,mon,4C,6,4CCI03,M. Tech. CNE Theory,21
102,mon,4C,7,4CS01,M. Tech. CNE Theory,15
103,mon,4C,8,FR,M. Tech. CNE Theory,42
104,tue,4C,1,MC03,M. Tech. CNE Theory,48
105,tue,4C,2,4CCI01,M. Tech. CNE Theory,29
106,tue,4C,3,4CS01,M. Tech. CNE Theory,39
107,tue,4C,4,4CCI03,M. Tech. CNE Theory,21
108,tue,4C,5,4CCI04,M. Tech. CNE Theory,50
109,tue,4C,6,4CCI02,M. Tech. CNE Theory,21
110,tue,4C,7,FR,M. Tech. CNE Theory,42
111,tue,4C,8,4MAT2,M. Tech. CNE Theory,46
112,wed,4C,1,4CCI02,M. Tech. CNE Theory,5
113,wed,4C,2,4CCI01,M. Tech. CNE Theory,27
114,wed,4C,3,4CCI04,M. Tech. CNE Theory,47
115,wed,4C,4,FR,M. Tech. CNE Theory,42
116,wed,4C,5,4CS01,M. Tech. CNE Theory,39
117,wed,4C,6,4MAT2,M. Tech. CNE Theory,46
118,wed,4C,7,MC03,M. Tech. CNE Theory,48
119,wed,4C,8,4CCI03,M. Tech. CNE Theory,26
120,thu,4C,1,FR,M. Tech. CNE Theory,42
121,thu,4C,2,4CS01,M. Tech. CNE Theory,39
122,thu,4C,3,4CCI02,M. Tech. CNE Theory,21
123,thu,4C,4,4CCI03,M. Tech. CNE Theory,21
124,thu,4C,5,MC03,M. Tech. CNE Theory,48
125,thu,4C,6,4MAT2,M. Tech. CNE Theory,46
126,thu,4C,7,4CCI04,M. Tech. CNE Theory,47
127,thu,4C,8,4CCI01,M. Tech. CNE Theory,29
128,fri,4C,1,FR,M. Tech. CNE Theory,42
129,fri,4C,2,4CCI04,M. Tech. CNE Theory,50
130,fri,4C,3,4CCI01,M. Tech. CNE Theory,29
131,fri,4C,4,4CCI03,M. Tech. CNE Theory,21
132,fri,4C,5,4CCI02,M. Tech. CNE Theory,5
133,fri,4C,6,MC03,M. Tech. CNE Theory,48
134,fri,4C,7,4MAT2,M. Tech. CNE Theory,46
135,fri,4C,8,4CS01,M. Tech. CNE Theory,39
136,sat,4C,1,4CS01,M. Tech. CNE Theory,15
137,sat,4C,2,4CCI03,M. Tech. CNE Theory,21
138,sat,4C,3,4CCI02,M. Tech. CNE Theory,5
139,sat,4C,4,MC03,M. Tech. CNE Theory,48
140,sat,4C,5,FR,M. Tech. CNE Theory,42
141,sat,4C,6,4CCI04,M. Tech. CNE Theory,47
142,sat,4C,7,4CCI01,M. Tech. CNE Theory,29
143,sat,4C,8,4MAT2,M. Tech. CNE Theory,46
144,mon,6A,1,CSPE28,CSL103,2
145,mon,6A,2,6CS01,CSL103,26
146,mon,6A,3,FR,CSL103,
147,mon,6A,4,6CS03,CSL103,33
148,mon,6A,5,6CCI02,CSL103,35
149,mon,6A,6,CSPE22,CSL103,25
150,mon,6A,7,CSPE01,CSL103,4
151,mon,6A,8,CSPE08,CSL103,20
152,tue,6A,1,6CCI01 ,CSL103,24
153,tue,6A,2,CSPE01,CSL103,4
154,tue,6A,3,CSPE08,CSL103,20
155,tue,6A,4,CSPE22,CSL103,25
156,tue,6A,5,6CCI02,CSL103,35
157,tue,6A,6,CSPE28,CSL103,29
158,tue,6A,7,6CS03,CSL103,33
159,tue,6A,8,6CS01,CSL103,26
160,wed,6A,1,6CCI02,CSL103,35
161,wed,6A,2,CSPE28,CSL103,2
162,wed,6A,3,CSPE01,CSL103,4
163,wed,6A,4,CSPE08,CSL103,20
164,wed,6A,5,6CS03,CSL103,33
165,wed,6A,6,CSPE22,CSL103,25
166,wed,6A,7,FR,CSL103,
167,wed,6A,8,6CCI01 ,CSL103,24
168,thu,6A,1,6CS03,CSL103,33
169,thu,6A,2,CSPE22,CSL103,25
170,thu,6A,3,CSPE08,CSL103,20
171,thu,6A,4,6CCI01 ,CSL103,24
172,thu,6A,5,CSPE01,CSL103,4
173,thu,6A,6,6CS01,CSL103,26
174,thu,6A,7,CSPE28,CSL103,2
175,thu,6A,8,FR,CSL103,42
176,fri,6A,1,6CCI02,CSL103,35
177,fri,6A,2,CSPE08,CSL103,20
178,fri,6A,3,CSPE22,CSL103,25
179,fri,6A,4,CSPE01,CSL103,4
180,fri,6A,5,6CS03,CSL103,33
181,fri,6A,6,FR,CSL103,
182,fri,6A,7,6CCI01 ,CSL103,24
183,fri,6A,8,CSPE28,CSL103,2
184,sat,6A,1,CSPE28,CSL103,29
185,sat,6A,2,CSPE08,CSL103,20
186,sat,6A,3,6CS03,CSL103,33
187,sat,6A,4,FR,CSL103,
188,sat,6A,5,CSPE01,CSL103,4
189,sat,6A,6,6CCI01 ,CSL103,24
190,sat,6A,7,CSPE22,CSL103,25
191,sat,6A,8,6CCI02,CSL103,35
192,mon,6B,1,FR,CSL105,
193,mon,6B,2,6CS03,CSL105,33
194,mon,6B,3,6CCI02,CSL105,35
195,mon,6B,4,CSPE22,CSL105,25
196,mon,6B,5,CSPE08,CSL105,20
197,mon,6B,6,CSPE01,CSL105,4
198,mon,6B,7,CSPE28,CSL105,29
199,mon,6B,8,6CCI01 ,CSL105,24
200,tue,6B,1,CSPE22,CSL105,25
201,tue,6B,2,CSPE01,CSL105,3
202,tue,6B,3,6CS03,CSL105,33
203,tue,6B,4,CSPE08,CSL105,20
204,tue,6B,5,6CCI02,CSL105,37
205,tue,6B,6,CSPE28,CSL105,2
206,tue,6B,7,6CS01,CSL105,26
207,tue,6B,8,FR,CSL105,42
208,wed,6B,1,CSPE22,CSL105,25
209,wed,6B,2,CSPE28,CSL105,
210,wed,6B,3,CSPE01,CSL105,3
211,wed,6B,4,6CCI01 ,CSL105,24
212,wed,6B,5,6CCI02,CSL105,35
213,wed,6B,6,CSPE08,CSL105,20
214,wed,6B,7,6CS01,CSL105,26
215,wed,6B,8,6CS03,CSL105,33
216,thu,6B,1,CSPE28,CSL105,29
217,thu,6B,2,6CCI01 ,CSL105,24
218,thu,6B,3,FR,CSL105,42
219,thu,6B,4,6CS01,CSL105,26
220,thu,6B,5,CSPE22,CSL105,25
221,thu,6B,6,CSPE01,CSL105,4
222,thu,6B,7,6CS03,CSL105,33
223,thu,6B,8,CSPE08,CSL105,20
224,fri,6B,1,6CCI02,CSL105,37
225,fri,6B,2,6CS03,CSL105,33
226,fri,6B,3,CSPE22,CSL105,38
227,fri,6B,4,CSPE01,CSL105,3
228,fri,6B,5,6CS01,CSL105,26
229,fri,6B,6,CSPE28,CSL105,29
230,fri,6B,7,CSPE08,CSL105,20
231,fri,6B,8,6CCI01 ,CSL105,24
232,sat,6B,1,6CS03,CSL105,33
233,sat,6B,2,6CCI02,CSL105,35
234,sat,6B,3,CSPE28,CSL105,29
235,sat,6B,4,CSPE01,CSL105,4
236,sat,6B,5,CSPE08,CSL105,20
237,sat,6B,6,FR,CSL105,42
238,sat,6B,7,CSPE22,CSL105,38
239,sat,6B,8,6CS01,CSL105,11
240,mon,6C,1,CSPE01,M. Tech. CSE Theory,4
241,mon,6C,2,CSPE22,M. Tech. CSE Theory,25
242,mon,6C,3,6CS03,M. Tech. CSE Theory,33
243,mon,6C,4,CSPE08,M. Tech. CSE Theory,20
244,mon,6C,5,6CCI01 ,M. Tech. CSE Theory,24
245,mon,6C,6,6CS01,M. Tech. CSE Theory,26
246,mon,6C,7,6CCI02,M. Tech. CSE Theory,35
247,mon,6C,8,CSPE28,M. Tech. CSE Theory,29
248,tue,6C,1,CSPE28,M. Tech. CSE Theory,29
249,tue,6C,2,CSPE01,M. Tech. CSE Theory,5
250,tue,6C,3,6CCI01 ,M. Tech. CSE Theory,24
251,tue,6C,4,6CS03,M. Tech. CSE Theory,33
252,tue,6C,5,6CCI02,M. Tech. CSE Theory,16
253,tue,6C,6,FR,M. Tech. CSE Theory,42
254,tue,6C,7,CSPE08,M. Tech. CSE Theory,20
255,tue,6C,8,6CS01,M. Tech. CSE Theory,11
256,wed,6C,1,FR,M. Tech. CSE Theory,42
257,wed,6C,2,6CCI02,M. Tech. CSE Theory,35
258,wed,6C,3,CSPE01,M. Tech. CSE Theory,5
259,wed,6C,4,6CS01,M. Tech. CSE Theory,26
260,wed,6C,5,CSPE28,M. Tech. CSE Theory,2
261,wed,6C,6,6CCI01 ,M. Tech. CSE Theory,24
262,wed,6C,7,6CS03,M. Tech. CSE Theory,33
263,wed,6C,8,CSPE08,M. Tech. CSE Theory,20
264,thu,6C,1,6CCI01 ,M. Tech. CSE Theory,24
265,thu,6C,2,CSPE08,M. Tech. CSE Theory,20
266,thu,6C,3,6CS03,M. Tech. CSE Theory,33
267,thu,6C,4,6CCI02,M. Tech. CSE Theory,35
268,thu,6C,5,FR,M. Tech. CSE Theory,42
269,thu,6C,6,6CS01,M. Tech. CSE Theory,11
270,thu,6C,7,CSPE28,M. Tech. CSE Theory,
271,thu,6C,8,CSPE22,M. Tech. CSE Theory,25
272,fri,6C,1,6CS01,M. Tech. CSE Theory,26
273,fri,6C,2,CSPE08,M. Tech. CSE Theory,25
274,fri,6C,3,6CCI01 ,M. Tech. CSE Theory,24
275,fri,6C,4,CSPE22,M. Tech. CSE Theory,25
276,fri,6C,5,CSPE01,M. Tech. CSE Theory,4
277,fri,6C,6,6CCI02,M. Tech. CSE Theory,35
278,fri,6C,7,6CS03,M. Tech. CSE Theory,33
279,fri,6C,8,FR,M. Tech. CSE Theory,42
280,sat,6C,1,CSPE01,M. Tech. CSE Theory,4
281,sat,6C,2,CSPE28,M. Tech. CSE Theory,29
282,sat,6C,3,CSPE22,M. Tech. CSE Theory,25
283,sat,6C,4,6CS03,M. Tech. CSE Theory,33
284,sat,6C,5,CSPE08,M. Tech. CSE Theory,25
285,sat,6C,6,6CCI01 ,M. Tech. CSE Theory,22
286,sat,6C,7,6CS01,M. Tech. CSE Theory,26
287,sat,6C,8,FR,M. Tech. CSE Theory,42
288,mon,8,1,FR,CSL105,
289,mon,8,2,CSPE12,CSL105,12
290,mon,8,3,CSPE30,CSL105,22
291,mon,8,4,CSPE08,CSL105,34
292,mon,8,5,CSPE08,CSL105,25
293,mon,8,6,CSPE17,CSL105,28
294,mon,8,7,CSPE12,CSL105,12
295,mon,8,8,CSPE12,CSL105,12
296,tue,8,1,CSPE12,CSL105,12
297,tue,8,2,CSPE08,CSL105,20
298,tue,8,3,CSPE17,CSL105,28
299,tue,8,4,CSPE12,CSL105,12
300,tue,8,5,FR,CSL105,42
301,tue,8,6,CSPE30,CSL105,22
302,tue,8,7,CSPE08,CSL105,25
303,tue,8,8,CSPE08,CSL105,20
304,wed,8,1,CSPE30,CSL105,22
305,wed,8,2,CSPE08,CSL105,20
306,wed,8,3,CSPE08,CSL105,20
307,wed,8,4,CSPE17,CSL105,28
308,wed,8,5,FR,CSL105,42
309,wed,8,6,CSPE12,CSL105,12
310,wed,8,7,CSPE12,CSL105,12
311,wed,8,8,CSPE08,CSL105,25
312,thu,8,1,FR,CSL105,
313,thu,8,2,CSPE12,CSL105,12
314,thu,8,3,CSPE17,CSL105,28
315,thu,8,4,CSPE30,CSL105,22
316,thu,8,5,CSPE12,CSL105,12
317,thu,8,6,CSPE08,CSL105,20
318,thu,8,7,CSPE08,CSL105,20
319,thu,8,8,CSPE30,CSL105,22
320,fri,8,1,CSPE12,CSL105,12
321,fri,8,2,CSPE08,CSL105,34
322,fri,8,3,CSPE12,CSL105,12
323,fri,8,4,CSPE30,CSL105,22
324,fri,8,5,CSPE17,CSL105,28
325,fri,8,6,CSPE08,CSL105,20
326,fri,8,7,FR,CSL105,42
327,fri,8,8,CSPE08,CSL105,20
328,sat,8,1,CSPE08,CSL105,20
329,sat,8,2,CSPE17,CSL105,28
330,sat,8,3,FR,CSL105,42
331,sat,8,4,CSPE12,CSL105,12
332,sat,8,5,CSPE30,CSL105,22
333,sat,8,6,CSPE12,CSL105,12
334,sat,8,7,CSPE08,CSL105,20
335,sat,8,8,CSPE08,CSL105,20
336,mon,M-CNE,1,CSPE29,ISE304,11
337,mon,M-CNE,2,AWN,ISE304,5
338,mon,M-CNE,3,FR,ISE304,
339,mon,M-CNE,4,ON,ISE304,6
340,mon,M-CNE,5,DCS,ISE304,7
341,mon,M-CNE,6,CSPE08,ISE304,20
342,mon,M-CNE,7,CSPE08,ISE304,20
343,mon,M-CNE,8,CSPE29,ISE304,11
344,tue,M-CNE,1,FR,ISE304,
345,tue,M-CNE,2,DCS,ISE304,7
346,tue,M-CNE,3,AWN,ISE304,5
347,tue,M-CNE,4,ON,ISE304,6
348,tue,M-CNE,5,CSPE29,ISE304,11
349,tue,M-CNE,6,CSPE08,ISE304,20
350,tue,M-CNE,7,AWN,ISE304,5
351,tue,M-CNE,8,DCS,ISE304,7
352,wed,M-CNE,1,CSPE08,ISE304,20
353,wed,M-CNE,2,DCS,ISE304,7
354,wed,M-CNE,3,CSPE29,ISE304,11
355,wed,M-CNE,4,ON,ISE304,6
356,wed,M-CNE,5,AWN,ISE304,5
357,wed,M-CNE,6,FR,ISE304,42
358,wed,M-CNE,7,FR,ISE304,
359,wed,M-CNE,8,DCS,ISE304,7
360,thu,M-CNE,1,CSPE29,ISE304,11
361,thu,M-CNE,2,DCS,ISE304,7
362,thu,M-CNE,3,CSPE08,ISE304,25
363,thu,M-CNE,4,FR,ISE304,
364,thu,M-CNE,5,AWN,ISE304,5
365,thu,M-CNE,6,ON,ISE304,6
366,thu,M-CNE,7,CSPE08,ISE304,25
367,thu,M-CNE,8,ON,ISE304,6
368,fri,M-CNE,1,FR,ISE304,
369,fri,M-CNE,2,CSPE29,ISE304,11
370,fri,M-CNE,3,DCS,ISE304,7
371,fri,M-CNE,4,AWN,ISE304,5
372,fri,M-CNE,5,ON,ISE304,6
373,fri,M-CNE,6,CSPE08,ISE304,25
374,fri,M-CNE,7,CSPE29,ISE304,11
375,fri,M-CNE,8,DCS,ISE304,7
376,sat,M-CNE,1,ON,ISE304,6
377,sat,M-CNE,2,DCS,ISE304,7
378,sat,M-CNE,3,CSPE08,ISE304,20
379,sat,M-CNE,4,FR,ISE304,
380,sat,M-CNE,5,AWN,ISE304,
381,sat,M-CNE,6,CSPE29,ISE304,11
382,sat,M-CNE,7,DCS,ISE304,7
383,sat,M-CNE,8,CSPE29,ISE304,
384,mon,M-CSE,1,CSPE13,CSL101,10
385,mon,M-CSE,2,CSPE08,CSL101,20
386,mon,M-CSE,3,CSPE28,CSL101,29
387,mon,M-CSE,4,SC,CSL101,4
388,mon,M-CSE,5,FR,CSL101,42
389,mon,M-CSE,6,ASE,CSL101,16
390,mon,M-CSE,7,CSPE08,CSL101,25
391,mon,M-CSE,8,ASE,CSL101,16
392,tue,M-CSE,1,CSPE13,CSL101,10
393,tue,M-CSE,2,ASE,CSL101,16
394,tue,M-CSE,3,CSPE08,CSL101,25
395,tue,M-CSE,4,SC,CSL101,4
396,tue,M-CSE,5,FR,CSL101,
397,tue,M-CSE,6,CSPE28,CSL101,
398,tue,M-CSE,7,FR,CSL101,
399,tue,M-CSE,8,CSPE28,CSL101,2
400,wed,M-CSE,1,ASE,CSL101,16
401,wed,M-CSE,2,CSPE08,CSL101,25
402,wed,M-CSE,3,CSPE28,CSL101,29
403,wed,M-CSE,4,FR,CSL101,
404,wed,M-CSE,5,SC,CSL101,4
405,wed,M-CSE,6,CSPE13,CSL101,10
406,wed,M-CSE,7,CSPE13,CSL101,10
407,wed,M-CSE,8,CSPE28,CSL101,29
408,thu,M-CSE,1,ASE,CSL101,16
409,thu,M-CSE,2,CSPE13,CSL101,10
410,thu,M-CSE,3,CSPE28,CSL101,29
411,thu,M-CSE,4,SC,CSL101,4
412,thu,M-CSE,5,FR,CSL101,
413,thu,M-CSE,6,CSPE08,CSL101,25
414,thu,M-CSE,7,FR,CSL101,42
415,thu,M-CSE,8,CSPE08,CSL101,34
416,fri,M-CSE,1,CSPE08,CSL101,20
417,fri,M-CSE,2,FR,CSL101,42
418,fri,M-CSE,3,ASE,CSL101,16
419,fri,M-CSE,4,SC,CSL101,
420,fri,M-CSE,5,CSPE28,CSL101,29
421,fri,M-CSE,6,CSPE13,CSL101,10
422,fri,M-CSE,7,FR,CSL101,
423,fri,M-CSE,8,CSPE08,CSL101,25
424,sat,M-CSE,1,ASE,CSL101,16
425,sat,M-CSE,2,FR,CSL101,42
426,sat,M-CSE,3,CSPE08,CSL101,34
427,sat,M-CSE,4,CSPE28,CSL101,29
428,sat,M-CSE,5,CSPE13,CSL101,10
429,sat,M-CSE,6,SC,CSL101,4
430,sat,M-CSE,7,CSPE28,CSL101,2
431,sat,M-CSE,8,FR,CSL101,
